ID,original_date,modis_date
05247_ID,2001-07-01,
05418_ID,2001-07-01,2002-05-27 00:00:00.000000000
00408_ID,2001-09-16,
07272_ID,2001-01-01,2002-01-20 00:00:00.000000000
07284_ID,2001-01-01,
07285_ID,2001-01-01,
07287_ID,2001-01-01,
07293_ID,2001-01-01,
00403_ID,2001-09-16,
00405_ID,2001-09-16,
00406_ID,2001-09-16,
00410_ID,2001-09-16,
00411_ID,2001-09-16,2001-10-25 00:00:00.000000000
10509_ID,2001-09-16,
10515_ID,2001-09-16,
10518_ID,2001-09-16,2001-11-10 00:00:00.000000000
10520_ID,2001-09-16,
10521_ID,2001-09-16,
10522_ID,2001-09-16,
10525_ID,2001-07-01,
10527_ID,2001-07-01,
10530_ID,2001-09-16,2001-11-26 00:00:00.000000000
10531_ID,2001-09-16,
10536_ID,2001-09-16,
10537_ID,2001-09-16,
10539_ID,2001-07-01,
10541_ID,2001-07-01,
10542_ID,2001-07-01,
10543_ID,2001-07-01,
10544_ID,2001-07-01,
10545_ID,2001-09-16,
10546_ID,2001-07-01,
10547_ID,2001-09-16,
10548_ID,2001-09-16,
10550_ID,2001-09-16,
10553_ID,2001-09-16,
10554_ID,2001-09-16,
10555_ID,2001-09-16,
10556_ID,2001-09-16,
10558_ID,2001-09-16,
10561_ID,2001-07-01,
10565_ID,2001-09-16,
10568_ID,2001-09-16,
10570_ID,2001-09-16,
10573_ID,2001-09-16,
10575_ID,2001-09-16,
10583_ID,2001-09-16,
10584_ID,2001-09-16,
10591_ID,2001-09-16,
10593_ID,2001-09-16,2001-11-01 23:59:59.999999872
10596_ID,2001-09-16,
10597_ID,2001-09-16,
10602_ID,2001-09-16,2001-11-01 00:00:00.000000000
10609_ID,2001-09-16,
10631_ID,2001-09-16,2001-10-25 00:00:00.000000000
10632_ID,2001-09-16,2001-10-25 00:00:00.000000000
10633_ID,2001-09-16,2001-11-10 00:00:00.000000000
10653_ID,2001-09-16,
10654_ID,2001-09-16,
10667_ID,2001-09-16,
17748_ID,2001-04-01,
17753_ID,2001-04-01,2001-05-24 00:00:00.000000000
17754_ID,2001-04-01,2001-04-27 00:00:00.000000000
17760_ID,2001-04-01,2001-05-04 00:00:00.000000000
17765_ID,2001-04-01,
17766_ID,2001-04-01,2001-05-03 23:59:59.999999872
17767_ID,2001-04-01,
17770_ID,2001-04-01,
17772_ID,2001-04-01,2001-04-27 00:00:00.000000000
17783_ID,2001-04-01,
17784_ID,2001-04-01,
